Timestamp (ms),Smoothed Speed (mm/s)
1630002063403,1991.295146644312
1630002063420,1961.0366135394006
1630002063437,1897.4895088066403
1630002063453,1851.5969904685314
1630002063470,1894.6839209130712
1630002063487,1820.3944442261989
1630002063503,1897.185496203625
1630002063520,1855.399215870577
1630002063537,1802.439877657608
1630002063554,1729.9520729820092
1630002063570,1732.8781283904204
1630002063587,1807.4912960068127
1630002063603,1756.8535602438226
1630002063620,1693.7295691428403
1630002063637,1628.7889726381036
1630002063653,1598.2254215661626
1630002063670,1653.2809691672894
1630002063687,1661.9031503245617
1630002063704,1600.9765877135414
1630002063720,1545.4109390499768
1630002063737,1526.6100666189625
1630002063753,1542.1030835822448
1630002063770,1514.0713600322467
1630002063787,1467.229413898021
1630002063804,1463.8089588663327
1630002063820,1505.9175124553722
1630002063837,1504.2390817522066
1630002063853,1455.6193655559182
1630002063870,1524.7843010745132
1630002063887,1521.836252037231
1630002063903,1506.4236970909374
1630002063920,1495.7863489221133
1630002063937,1520.043867607149
1630002063954,1536.6418902528626
1630002063970,1579.4283117282166
1630002063987,1596.7622140303313
1630002064004,1586.6240473705843
1630002064020,1560.5359546144896
1630002064037,1522.359273816989
1630002064054,1486.1476143021175
1630002064070,1581.1320479920057
1630002064087,1576.1937606968663
1630002064104,1614.5045270015103
1630002064120,1593.252023875571
1630002064137,1550.9035691625486
1630002064154,1547.2969387992348
1630002064170,1507.518942590128
1630002064187,1503.6901419615638
1630002064203,1466.8651581673955
1630002064220,1418.006775923229
1630002064237,1407.094406355658
1630002064254,1370.9638217823447
1630002064270,1350.7653852304709
1630002064287,1318.115400482352
1630002064304,1360.7319379367555
1630002064320,1363.891288915932
1630002064337,1364.177331940786
1630002064354,1344.282897789053
1630002064370,1405.739520704461
1630002064387,1454.0378252149883
1630002064404,1450.3853419125949
1630002064420,1530.0802284805618
1630002064437,1657.9037795880065
1630002064454,1657.4604146707163
1630002064470,1745.5893225905736
1630002064487,1880.1315679434178
1630002064504,1857.6533123262184
1630002064520,1832.3908200229903
1630002064537,1811.765552582561
1630002064554,1825.3065139254682
1630002064570,1776.2218050149252
1630002064587,1746.4369443041132
1630002064604,1706.3354403283006
1630002064620,1721.1601253335384
1630002064637,1805.7799718931312
1630002064654,1796.6177457822384
1630002064670,1733.0135175000978
1630002064687,1793.6931413304985
1630002064704,1777.612573876658
1630002064720,1785.2066988406655
1630002064737,1808.8269347428693
1630002064754,1789.283171869182
1630002064770,1812.9715841999766
1630002064787,1790.228988718713
1630002064804,1798.31778892202
1630002064820,1722.5921838076536
1630002064837,1661.3279736769116
1630002064854,1639.211718181787
1630002064870,1565.0916706733221
1630002064887,1507.5388706163415
1630002064904,1489.6242551421983
1630002064920,1494.2414847694138
1630002064937,1479.3698852838008
1630002064953,1518.4987213451527
1630002064970,1466.1375893704685
1630002064987,1505.8992254383609
1630002065003,1462.6751881593361
1630002065020,1454.43307213017
1630002065037,1470.1938899710437
1630002065054,1486.9778823208942
1630002065070,1552.2883817231295
1630002065087,1535.3821009552314
1630002065103,1520.9871909023816
1630002065120,1478.6587459159891
1630002065137,1433.5725806153544
1630002065154,1443.7170946634185
1630002065170,1403.8238326515052
1630002065187,1412.7132119979428
1630002065204,1453.6128977745177
1630002065220,1496.4550511139046
1630002065237,1577.0565279313626
1630002065254,1590.878019127373
1630002065270,1580.5387864017735
1630002065287,1566.5680417547749
1630002065304,1597.4703650568215
1630002065320,1572.2566620049158
1630002065337,1539.4361354080374
1630002065354,1541.2279868947844
1630002065370,1599.9731983730767
1630002065387,1609.7372593302482
1630002065403,1611.2322283544904
1630002065420,1657.0568660613244
1630002065437,1632.817209884036
1630002065454,1602.489770239206
1630002065470,1562.0336859043869
1630002065487,1555.1196699094446
1630002065504,1514.8367891508285
1630002065520,1506.406724578823
1630002065537,1470.3578186955967
1630002065554,1523.9642971273508
1630002065570,1586.7573106351117
1630002065587,1618.1932916294388
1630002065604,1581.912869521586
1630002065620,1542.6829748540906
1630002065637,1519.5747899318078
1630002065654,1528.4902339919847
1630002065670,1490.1749484670815
1630002065687,1464.8601487079807
1630002065703,1480.7202006222808
1630002065720,1496.0236832818246
1630002065737,1555.1951431026873
1630002065754,1603.5570276205683
1630002065770,1628.9285205843235
1630002065787,1694.4221684983638
1630002065804,1744.1825129636632
1630002065820,1770.8158774499993
1630002065837,1708.4469876504727
1630002065854,1715.3788970608957
1630002065870,1662.7191496336657
1630002065887,1680.4091324020453
1630002065904,1628.632109479414
1630002065920,1592.4473901884924
1630002065937,1654.824664068607
1630002065953,1711.3575001639122
1630002065970,1692.3907247255584
1630002065987,1656.1792216304982
1630002066004,1629.2445139859442
1630002066020,1660.7053491950078
1630002066037,1599.7540146620447
1630002066054,1730.399113315235
1630002066070,1652.4942466388081
1630002066087,1737.049192224911
1630002066104,1695.8333356316775
1630002066120,1765.0291776700485
1630002066137,1791.1264448902518
1630002066154,1725.4427939789316
1630002066170,1697.0910517216557
1630002066187,1670.5271540319538
1630002066204,1697.1957100560028
1630002066220,1703.664570524917
1630002066237,1669.3284536114295
1630002066254,1635.2609076590745
1630002066270,1595.1162568464686
1630002066287,1549.2300550656073
1630002066304,1482.5862974747008
1630002066320,1431.799633926829
1630002066337,1382.245290013208
1630002066354,1358.7652742609919
1630002066370,1372.3970256525458
1630002066387,1342.7323042788607
1630002066404,1316.2822955962783
1630002066420,1330.686648171749
1630002066437,1335.7760540990305
1630002066474,1470.9650039328758
1630002066487,1448.716192503982
1630002066504,1515.8459423660922
1630002066520,1488.8360489934928
1630002066537,1450.5583545811226
1630002066554,1450.4794820180016
1630002066570,1513.438431532073
1630002066587,1453.7165012134012
1630002066604,1415.5283689892312
1630002066620,1424.5400829057855
1630002066637,1424.9949339609807
1630002066654,1428.9322412676813
1630002066670,1512.0294111615192
1630002066687,1631.6344438144474
